No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
14,FAQ,SI,"J'ai oublié ou perdu mon login ou mot de passe informatique, comment procéder ?",Vous trouverez toutes les informations pour la récupération de votre compte sur cette page.​​ https://confluence.hefr.ch/pages/releaseview.action?pageId=29394200,"Ich habe mein Computer-Login oder -Passwort vergessen oder verloren, wie soll ich vorgehen?
","Alle Informationen zur Wiederherstellung Ihres Kontos finden Sie auf dieser Seite.​ 

https://confluence.hefr.ch/display/public/KBExterneHEFR/Passwort+vergessen",HEDS; HEG; HEIA; HES-SO//FR; HETS;,Infrastructure
15,FAQ,ST,"​Je me trouve à l'intérieur d'un bâtiment en dehors des heures d'ouverture. 
Puis-je tout de même sortir ?",Vous pouvez sortir en tout temps des bâtiments. ,"Ich befinde mich ausserhalb der Öffnungszeiten im Innern der Gebäude der HTA-FR. Kann ich das Gebäude trotzdem verlassen?
","Ja, Sie können die Gebäude jederzeit verlassen.",HEIA,"Infrastructure
Formation"
16,FAQ,SACAD,​Où et quand dois-je rendre les épreuves corrigées des examens de contrôles continus ?,"Les épreuves d'examens corrigées doivent être remises dans les délais communiqués au service académique, où elles seront archivées.","Wo und wann muss ich die korrigierten Prüfungen abgeben?
",Die korrigierten Prüfungen müssen fristgerecht beim Studiensekretariat zur Archivierung abgegeben werden.,HEIA,Formation
17,FAQ,SNZ,​Que dois-je faire en cas de plagiat ou tricherie effectifs ? ,"Si vous découvrez un cas de plagiat ou de tricherie (même dans des travaux non notés), veuillez en informer le ou la responsable de filière qui décidera de la suite à donner.
Selon la Loi sur la Haute Ecole spécialisée de Suisse occidentale de Fribourg (LHES-SO//FR) :
Art. 46, al. 1
Toute fraude ou tentative de fraude dans le processus d'évaluation, y compris le plagiat, entraîne la non-acquisition des crédits «European Credit Transfer System» (ECTS) correspondants, le refus du titre, voire son annulation. ","Was soll ich bei einem Plagiat- oder Betrugsfall machen?
","Bei Plagiat- und Betrugsfällen, auch bei unbenoteten Arbeiten, informieren Sie bitte die Studiengangsleitung.

Konsequenzen gemäss Gesetz über die Fachhochschule Westschweiz//Freiburg (HES-SO//FRG):
Art. 46, Abs. 1
Jeder Betrug oder Betrugsversuch, einschliesslich eines Plagiats, im Rahmen des Evaluationsverfahrens hat die Nichtvergabe der entsprechenden ECTS-Kreditpunkte («European Credit Transfer System») oder des Diploms oder die Ungültigkeitserklärung des Diploms zur Folge.
",HEIA,Formation
18,FAQ,SNZ,​Que dois-je faire en cas de suspicion de plagiat ?,"L'école dispose de licences pour différents logiciels de détection de plagiat. En cas de suspicion de plagiat, vous pouvez vous adresser à votre responsable de filière.","Was soll ich bei Verdacht auf Plagiat machen?
",Die Hochschule verfügt über Software zur Erkennung von Plagiaten. Bei Plagiatsverdacht wenden Sie sich bitte an die Studiengangsleitung.,HEIA,Formation
19,FAQ,SACAD,​Sur quel barème se basent les notes ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 27 al. 1 Les évaluations sont exprimées par une des échelles décrites ci-dessous ou par une appréciation « acquis » ou « non-acquis ».
al. 2 
L’utilisation d’une échelle de notes est uniformisée au sein d’un domaine sur une des références suivantes :
a) l’échelle de notes chiffrée utilise des notes de 1 à 6. La meilleure note est 6, la plus mauvaise est 1. Les notes inférieures à 4 sanctionnent des
prestations insuffisantes.

Directive sur l’organisation des modules à la HEIA-FR :
Art.3 A chaque cours est attribuée une note arrondie au dixième de point ou une appréciation « acquis » / « non-acquis » basée sur le contrôle continu. Le descriptif de cours précise les modalités d’évaluations.","Welche Notenskala wird bei Evaluationen angewendet?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 27, Abs. 1 Die Evaluationen werden in einer der nachstehend beschriebenen Notenskalen oder durch die Beurteilung „erworben“ oder „nicht erworben“ bewertet. 
Abs. 2
Die Verwendung einer Notenskala erfolgt innerhalb eines Fachbereichs einheitlich nach einem der folgenden Bezugssysteme: 
a)	Die bezifferte Notenskala verwendet Noten von 1 bis 6. Die beste Note ist 6, die schlechteste Note ist 1. Noten unter 4 werden für ungenügende Leistungen vergeben. 

Richtlinie über die Organisation der Module an der HTA-FR:
Art. 3 Für jeden Kurs wird eine auf eine Dezimalstelle gerundete Note oder die Beurteilung «bestanden» / «nicht bestanden» vergeben, die sich aus den Lernkontrollen ergibt. Die Prüfungsmodalitäten sind in der Kursbeschreibung aufgeführt.
",HEIA,Formation
20,FAQ,SACAD,​Puis-je obtenir les photos des étudiant·e·s de ma/mes classe(s) ?,"Vous trouvez les photos des étudiant·e·s avec les noms, regroupées par classe sur l'intranet https://webapp.heia-fr.ch/annuaire_intranet/","Habe ich Zugriff auf die Fotos der Studierenden?
","Die Fotos mit Namen und Klassenangabe finden Sie im Intranet: https://webapp.heia-fr.ch/annuaire_intranet/ 

",HEIA,Formation
21,FAQ,SACAD,​Que faire si un·e étudiant·e est régulièrement absent·e ?,Le ou la responsable de filière doit être informé·e d'une absence répétée d'un·e étudiant·e.,"Was soll ich machen, wenn eine/r meiner Mitstudierenden regelmässig abwesend ist?
",Bitte informieren Sie in solchen Fällen die Studiengangsleitung.,HEIA,Formation
22,FAQ,SACAD,​Quelle est la politique en matière de fréquentation des cours ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art. 13 Les étudiant·e·s sont tenu·e·s de fréquenter les cours et autres activités obligatoires. Les exceptions à cette règle sont précisées dans le descriptif de module.","Welche Richtlinien hat die HTA-FR in Sachen Anwesenheit an Kursen?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 13 Die Studierenden sind verpflichtet, die Kurse und die anderen obligatorischen Studienaktivitäten zu besuchen. Ausnahmen sind in der Modulbeschreibung aufgeführt.
",HEIA,Formation
23,FAQ,SACAD,"Je suis absent et ne peut pas donner mon cours, que faire ?",Toute absence doit être signalée et justifiée au plus vite par e-mail à votre filière. Vous êtes personnellement responsable d'organiser le remplacement de votre cours et d'informer vos étudiant·e·s. Vous pouvez également discuter avec vos étudiant·e·s pour trouver une date de remplacement du cours.,"Was muss ich tun, wenn ich abwesend bin und den Unterricht nicht abhalten kann?",Absenzen müssen begründet und unverzüglich per E-Mail der Studiengangsleitung gemeldet werden. Sie sind für die Organisation eines Nachholtermins für den verpassten Kurs verantwortlich. In Einverständnis mit den Studierenden können Sie einen Termin für einen Nachholkurs festlegen.,,
25,FAQ,SACAD,"​En tant que professeur·e, où puis-je trouver mon horaire ou l'horaire de mes classes ?","Les horaires des classes et des professeur·e·s sont publiés ici, ainsi que sur Pocket HES. 
https://webapp.heia-fr.ch/horaire/","Als Dozierende/r, wo finde ich meinen Studenplan und den meiner Klassen?
","Die Stundenpläne der Dozierenden und Klassen sind online sowie auf PocketHES.
https://webapp.heia-fr.ch/horaire/",HEIA,Formation
26,FAQ,SACAD,​Puis-je modifier l'horaire de mes cours si mes étudiant·e·s sont d'accord ?,"Normalement, il n’est pas possible de modifier son propre horaire, car il y a des contraintes souvent ignorées imposées par la filière.
Un·e professeur·e souhaitant une modification de son horaire doit d’abord en parler à son ou sa responsable de filière. Si la demande est acceptée, une proposition d’échange doit être transmise à heia-fr-horaires@hefr.ch.","Darf ich eine Stundenplanänderung vornehmen, wenn meine Studierenden damit einverstanden sind?
","Grundsätzlich ist es nicht möglich, seinen Stundenplan zu ändern. Die Komplexität der Stundenpläne wird meist unterschätzt.
Dozierende, die ihren Stundenplan ändern wollen, müssen dies mit der Studiengangsleitung besprechen. Falls die Studiengangsleitung den Antrag genehmigt, muss der Änderungsvorschlag an heia-fr-horaires@hefr.ch geschickt werden.
",HEIA,Formation
27,FAQ,SACAD,​Qui s'occupe d'établir les horaires ?,"Florence Yerly (heia-fr-horaires@hefr.ch)

Les modifications d'horaire doivent être validées par les responsables de filière. ","Wer stellt die Stundenpläne zusammen?
","Florence Yerly heia-fr-horaires@hefr.ch

Stundenplanänderungen müssen von der Studiengangsleitung validiert werden.
",HEIA,Formation
28,FAQ,ST,​Que faire en cas de problème avec du matériel se trouvant dans les salles de classe ? ,Veuillez signaler sans délai tout problème au service technique.,"Ich habe ein Problem mit der Infrastruktur/dem Material in meinem Klassenraum. Was kann ich machen?
",Melden Sie das Problem dem Technischen Dienst.,HEIA,Infrastructures
29,FAQ,ST,​Existe-t-il une salle pour les professeur·e·s ?  ,"Non. En revanche, certain·e·s professeur·e·s ont un bureau personnel.","Gibt es ein Lehrerzimmer an der HTA-FR?
",Nein. Bestimmte Lehrpersonen haben ein eigenes Büro.,HEIA,Infrastructures
30,FAQ,SACAD,​Existe-t-il des listes d'e-mails groupés pour contacter mes étudiant·e·s ?,"Les groupes d'e-mails par classes peuvent être obtenus via outlook et webmail.

Les étudiant·e·s qui suivent des cours dans une autre classe que la leur, peuvent s'inscrire dans des listes de diffusion supplémentaires.","Gibt es E-Mail-Verteilerlisten, um meine Klassen als Gruppe zu kontaktieren?","Sowohl in Outlook als auch in Webmail stehen Verteilergruppen nach Klassen zur Verfügung.

Studierende, die auch Kurse in anderen Klassen belegen, können sich zusätzlich für die entsprechenden Verteilerlisten einschreiben.",HEIA,Formation
31,FAQ,SI,​A qui m'adresser pour la création d'un espace de cours dans SharePoint ?,"Vous pouvez faire une demande de création d'un espace pour vos cours via une demande au HelpDesk. Nous vous remercions de consulter https://confluence.hefr.ch/x/RIdbAg et cliquer sur ""Demander un espace Sharepoint""
","An wen kann ich mich wenden, wenn ich einen Kurs auf der Kommunikationsplattform SharePoint einrichten will?
",Sie können dafür eine Anfrage beim HelpDesk machen. Mehr dazu: https://confluence.hefr.ch/x/gZZbAg  >  «Anfrage für das Erstellen eines gemeinsamen Arbeitsbereichs»,HEIA,Formation
32,FAQ,SACAD,​A qui m'adresser pour la création d'un espace de cours dans Moodle/Cyberlearn ?,Vous pouvez adresser votre demande d'établissement de cours ou toute autre question concernant la plateforme à cyberlearn@hes-so.ch.,"An wen kann ich mich wenden, wenn ich einen Kurs auf Moodle/Cyberlearn erstellen möchte?
","Diese Anfrage, sowie auch andere Fragen zur Plattform Cyberlearn, können Sie an folgende Adresse schicken: cyberlearn@hes-so.ch.",HEIA,Formation
33,FAQ,SACAD,​En quoi consiste Moodle/Cyberlearn ?,"Proposée par Cyberlearn pour toute la HES-SO, Moodle est une plateforme permettant de mettre à disposition des documents pour vos étudiant·e·s. Si vous organisez une plateforme, pensez au fait que c'est une façon de communiquer avec vos étudiant·e·s. Il vaut alors la peine de leur souhaiter la bienvenue et d'écrire un petit mot pour prendre contact.
Plus d'informations : https://elearning.hes-so.ch/fr/moodle-5392.html","Was ist Moodle/Cyberlearn?
","Die Plattform Moodle steht der ganzen HES-SO zur Verfügung. Auf Moodle können den Studierenden beliebige Dokumente zur Verfügung gestellt werden. Auf dieser Plattform kommunizieren Sie mit Ihren Studierenden; heissen Sie die Teilnehmenden auch schriftlich willkommen.
Mehr dazu: https://elearning.hes-so.ch/fr/moodle-5392.html
",HEIA,Formation
34,FAQ,SNZ,​Quel logiciel ou plateforme puis-je utiliser pour déposer mon matériel d'enseignement pour les étudiant·e·s ?,"La HEIA-FR et le domaine Ingénierie et Architecture recommandent l’utilisation de Cyberlearn, la plateforme Moodle de la HES-SO, comme LMS (learning management system). Pour l’enseignement synchrone, l’école préconise l’utilisation de Microsoft TEAMS et wooclap, pour faire interagir les étudiant·e·s et obtenir des retours sur leur apprentissage.","Welche software oder Plattform kann ich einsetzen, um meinen Studierenden Kursunterlagen zur Verfügung zu stellen?
",Die HTA-FR und die Fachbereiche Ingenieurwissenschaften und Architektur der HES-SO empfehlen den Einsatz von Cyberlearn und Moodle. Für den Fernunterricht empfiehlt die Hochschule Microsoft TEAMS und für die Interaktivität und das Lernfeedback das Tool wooclap.,HEIA,Formation
35,FAQ,SACAD,​Que puis-je trouver sur l'Intranet de l'école ?,"Sur l'Intranet de l'école, vous trouvez divers documents et informations en relation avec les ressources humaines, le service académique, le service des finances, le service de communication, les infrastructures, etc.","Was finde ich auf dem Intranet der Hochschule?
","Auf dem Intranet der HTA-FR sind diverse Doks und Infos zu den Bereichen: Personalwesen, Studiensekretariat, Finanzen, Kommunikationsdienst, Infrastrukturen usw.  ",HEIA,Formation
36,FAQ,SACAD,"​Une fois les examens passés, puis-je passer à l'année supérieure même si des modules sont encore à répéter ?","Non, il faut avoir obtenu tous les crédits de l'année en cours afin de pouvoir commencer l'année suivante. En cas d'échec, il est possible, sous certaines conditions, de répéter les modules échoués et d'anticiper certains cours. 

Directive sur l’organisation des modules à la HEIA-FR :
Art. 6 al. 1 L’accès à un cours ou un module peut être soumis à une ou plusieurs
conditions (par exemple un prérequis) précisées dans le descriptif de module. Un
cours ne peut pas être suivi partiellement sur deux années académiques.
al. 2 
L’étudiant-e doit respecter ces conditions et élaborer un emploi du temps lui
permettant d’assurer un maximum de réussite.
al. 3 
L’accès à un cours par anticipation n’est pas automatique et ne peut se faire
qu’avec l’approbation du ou de la responsable de filière, qui tient compte entre
autres de la capacité des salles et lieux d’enseignement.

En filière d'architecture, la 1ère année doit être totalement réussie pour un passage en 2ème année.","Kann ich nach den Prüfungen ins nächste Studienjahr übertreten, auch wenn ich bestimmt Module wiederholen muss?
","Nein, man muss alle Kredite des laufenden Studienjahrs erhalten haben, um das nächste Studienjahr antreten zu können. Bei Nichtbestehen ist es unter bestimmten Bedingungen möglich, nichtbestandene Module zu wiederholen und bestimmte Kurse vorzuziehen.

Richtlinie über die Organisation der Module an der HTA-FR:
Art. 6, Abs. 1 Für die Teilnahme an einem Kurs oder Modul können verschiedene Bedingungen und Voraussetzungen gelten. Diese werden in den Kurs- oder Modulbeschreibungen näher definiert. Ein Kurs kann nicht verteilt auf zwei akademische Jahre belegt werden.
Abs. 2 Die Studierenden müssen allfällige Bedingungen und Voraussetzungen für die Teilnahme an Kursen und Modulen beachten und einen Stundenplan erstellen, der ihnen grösstmögliche Erfolgschancen gewährleistet. 
Abs. 3 Das Vorziehen von Kursen ist nicht automatisch und nur mit Genehmigung der Studiengangleitung möglich, welche unter anderem die Kapazitäten der Unterrichtsräume und -standorte berücksichtigt.

Im Studiengang Architektur muss das 1. Studienjahr vollumfänglich bestanden sein, um ins 2. Studienjahr eintreten zu können.
",HEIA,Formation
37,FAQ,SACAD,​Que se passe-t-il si je n'ai pas obtenu les crédits ECTS requis (60 ECTS) à la fin de mon 2ème semestre ?,"En filière d'architecture, la 1ère année doit être réussie totalement pour prétendre passer au 3ème semestre.
Pour les autres filières, l'étudiant·e obtient le statut de répétant·e et peut suivre des cours en anticipation (cf. Art. 6 de la directive sur l'organisation des modules à la HEIA-FR). Le formulaire PFP (plan de formation personnalisé) doit être rempli et validé dans les délais par le ou la responsable de filière. Le formulaire PFP est disponible sur le Sharepoint du service académique.","Was passiert, wenn ich die erforderlichen 60 ECTS-Kreditpunkte nach dem 2. Semester nicht erlangt habe?
","Im Studiengang Architektur muss das 1. Studienjahr vollumfänglich bestanden sein, um ins 3. Semester einsteigen zu können.
Für die anderen Studiengänge erhalten diese Studierenden den Status «Wiederholen» und können Kurse vorziehen (s. Art. 6 der Richtlinie über die Organisation der Module an der HTA-FR). Das Formular «Persönlicher Studienplan» (PFP = plan de formation personnalisé) muss fristgerecht eingereicht und von der Studiengangsleitung genehmigt werden. Das Formular ist auf SharePoint > Service académique
",HEIA,Formation
38,FAQ,SACAD,​Que se passe-t-il si je ne réussis pas à valider un module malgré la répétition d'un cours?,"Si les notes des cours répétés ne permettent pas d'obtenir une moyenne au module de 4.0 minimum et aucune note inférieure à 3.0, l'étudiant·e n'a plus la possibilité d'acquérir les crédits liés au module concerné. Il ou elle est alors en situation d'échec définitif.","Was ist, wenn ich ein Modul trotz Kurswiederholung nicht bestehe?
","Wenn mit den Noten der wiederholten Kurse die Bedingungen (Notendurchschnitt des Moduls ≥ 4.0 und keine Kursnote < 3.0) nicht erfüllt sind, gilt das Modul als definitiv nicht bestanden. ",HEIA,Formation
39,FAQ,SACAD,Comment puis-je connaître les résultats de fin de semestre ?,"Le service académique informe par e-mail quand les notes peuvent être consultées en ligne sur IS-Academia https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm (SWITCH Edu-ID) et sur Pocket HES. Seules certaines périodes sont ouvertes à la consultation des notes.

Directive sur l’organisation des modules à la HEIA-FR :
Art. 18 al. 1 Le courrier papier et le courrier électronique sont des canaux officiels de communication d’informations vers l’étudiant·e. Il ou elle a la responsabilité notamment de consulter régulièrement sa boîte à lettres électronique mise à disposition par l’école.
","Wie werde ich über meine Semesternoten informiert?
","Das Studiensekretariat informiert per E-Mail, wann die Noten online auf IS-Academia https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm (SWITCH Edu-ID) sowie auf PocketHES eingesehen werden können. Die Noteneinsicht ist nur zu bestimmten Zeitfenstern möglich.

Richtlinie über die Organisation der Module an der HTA-FR:
Art. 18, Abs. 1 Die offizielle Kommunikation mit den Studierenden erfolgt per Post und per E-Mail. Die Studierenden sind dafür verantwortlich, regelmässig ihr von der Schule bereitgestelltes E-Mail-Postfach zu kontrollieren.
",HEIA,Formation
40,FAQ,SACAD,"En tant que répétant·e, quelle note sera comptée ?","Directive sur l’organisation des modules à la HEIA-FR :
Art. 11 al. 1 Lorsqu’un module est terminé, l’étudiant·e qui n’obtient pas les crédits correspondants doit le répéter dès que possible. Dans ce cas, sauf indication contraire dans le descriptif de module validée par la direction académique, la répétition porte sur tous les cours qui le composent dont la note est inférieure à 4.0. La note attribuée pour un cours répété est la note obtenue lors de sa répétition. ","Wenn ich wiederhole, welche Noten werden angerechnet?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 11, Abs. 1 Studierende, die nach Abschluss eines Moduls nicht die entsprechenden ECTS-Punkte erreichen, müssen das Modul so bald wie möglich wiederholen. Sofern in der von der Direktion Lehre genehmigten Modulbeschreibung nichts anderes angegeben ist, müssen in diesem Fall nur die Kurse wiederholt werden, in denen die Studierenden die Note 4.0 nicht erreicht haben. Die für einen wiederholten Kurs vergebene Note ist die bei der Wiederholung erreichte Note.
",HEIA,Formation
